text,label
 这不活该吗[尬笑],1
总有借口[捂脸],1
还有车有房就可以，咋滴黑人就啥都不用，国内的男人就要有[看],1
希望你别回来了，,1
 快快快看看,0
我好奇你妈妈,1
你嫁中国人！中国人得用脚怂,1
过于真实，引起不适，举报了！,1
美国人也不喜欢胖，，，，,0
恭喜恭喜�恭喜,0
生活条件那么好吗，都吃那么胖,0
非洲伙食这么好，都吃胖了，别回来了,1
非洲的伙食太好了，把她吃的肥头大耳！,1
除了鼻孔每个孔都穿过大号了？,1
我坚决不同情你，中国人这么好，你不嫁？,1
[看][看][看]你看我信吗,0
非洲真好[赞],0
你妈妈是很幸运的,0
大慰！大得可以安慰自己。,1
那两混血小女孩，是真的丑死了,1
现眼[发怒],1
是不是酋长的儿子[看],0
这五官挺好看的,0
选择外国人生娃， 就跟他们回他们的国家 有了孩子也上他们国家的户口 不要污染我们炎黄血统[微笑],1
这个肤色比较正常,0
可以光宗耀祖了,1
我可不是你的家人们[嘘],1
祝她在非洲过的幸福,0
这个非洲姑娘颜值放在国内都是美女行列[舔屏][舔屏][舔屏],0
没有人可怜你,1
   _小张�        所以说读书没用,1
试试黑人吧，回来就没机会了，[泣不成声],1
生活很不错，应该是在非洲算第二上，上等家庭了。[泪奔][泪奔]。,0
嫁给非洲女人幸福的人很少很少,1
有句俗话说嫁狗随狗，嫁鸡随鸡，原来真的不是假的。[捂脸],1
嫁出去就把国籍户口也跟着过去就是了[暗中观察][暗中观察][暗中观察]都出嫁了还明显脱离户口了[暗中观察][暗中观察][暗中观察]嫁出国了国籍也跟着去就是了[泣不成声][泣不成声][泣不成声],1
又要黑一锅,1
医学院高材生不会英语[发呆][发呆][发呆][发呆],0
这样的不多。,0
你给她讲这些干嘛你应要支持她去最好跟她说叫她把户口也迁过去。,1
嫁给爱情就不要回来了,1
吃饱没事理这些，人家过得好好的，非要去研究人家嫁给外国人不好[捂脸],0
你女儿也嫁过去享受幸福[看],1
 好看啊我日,0
回美国去[尬笑],1
你去谈吧，最好跟他回去非洲。永远不要回来,1
 她就是活该,1
不屈自找的,1
还真是，这种女人回国还真不能要她。,1
送给他们，他们还是愿意干,1
还好不叫金包卵,1
这部剧的人该查查祖上是不是有点什么污点,0
等着人打赏，然后住上别墅，快去打赏吧,0
莫非是大的招生视频[泪奔][泪奔][泪奔],0
 笑死我了真呢好笑,1
一点都不同情他，可怜了他父母,1
杨颖？,0
怕以后没有办法讲话[捂脸],1
卖黑求荣[黑脸][撇嘴],1
拒之国门,1
我一点都不可怜她[泪奔][泪奔]不知道为什么,1
还提彩礼？以为自己谁啊,1
可以带她去建设你们的国家 又懂的知恩图报 快回去吧,1
你想嫁就能嫁的出去吗？有人接收吗？,1
试过了大多数？真行,1
祝你用餐愉快[捂脸][比心],1
嫁给中国女人 ，离了婚的属于二手 ，嫁给外国人的女人 ，全部属于废品，没有回收利用价值,1
这种应该是假的,0
  恶心人,1
高材生应该是有头有脑才对啊。一点都不像个高材生的样子[酷拽][酷拽][撇嘴],1
他是除了父亲最爱你的男人，如果你也爱他，祝你们幸福，早早的步入婚姻的殿堂，祝福你们[一起加油][一起加油][一起加油],0
生孩子机器警告的人呢[看],1
以为人家有钱[呲牙],1
有夫妻相了,0
不要救她！死有余辜[偷笑][偷笑],1
   逆天[绿帽子],1
要不是我在美国快二十年，有若干美国朋友，我差点就信了,1
可悲的是她还是高材生……,1
喜欢穿大码的,1
别劝，让她去玩,1
   哈哈哈哈,0
必须支持啊，什么时候回非洲，我等着吃瓜[捂脸],1
不反对也不唾骂[捂脸][捂脸][捂脸][捂脸],0
记者是马哥不,0
不是不愿意而是大家都懂得[呲牙],1
现在的女人，巅覆三观,1
这个长相好漂亮，捡到宝了。,0
好良言难劝那该死的鬼,1
.[捂脸],0
都别看我啊，夹菜,0
我喜欢，，[大笑][哈欠],0
它们不需要喜欢[抠鼻],1
扯淡呢。要不是我去过我就信了。亚洲女性在老美那边很受欢迎。相对男性容易太多了,0
以前看到很气愤，然后看到中国男的在非洲大陆留下数量不菲的混血儿，就觉得不是那么气愤了[泪奔][泪奔],1
活该罪有应得，嫁谁不好，嫁给非洲人,1
是 那边来的吗,0
不听老人言，吃亏在眼前。,1
   给我清空弹夹[尬笑],1
站出来说自己还是好女人,1
感觉蛮奇怪的,1
赶紧划过,1
赶紧送回非洲,1
来时好好的，回不去了。,1
究竟是什么样的爱情能让人舍弃父母亲人去私奔？,1
别回来，害我男同胞真怕惹上一身病,1
这种斗音就不要发了，丢人啊,1
大鹅咋叫？,1
这个女的以后分手不会有人要了,1
哎，以后漏尿！老了全是病,1
咋就不更新了。,0
胯都变形了,1
嫁过去可以，上户口不准上中国的就行,1
很漂亮啊  祝福,0
       笑了[尬笑],1
國家津貼太多了要我在非洲我也來中國雙引號“留學”,1
串了,0
你要跟着他一起去非洲才是真爱,1
黑子有啥好的？,1
看起来人家过的挺好，一脸幸福,0
国家都引进我们能怎么样,0
，     ?[图片表情],0
看了这姑娘的长相，我尽然不好奇她父母的样子！[捂脸],1
  不看钱懂吗,1
再富有也是非洲黑人[捂脸][捂脸],1
把小仙女都嫁过去吧[调皮]让她们知道什么才是男拳[调皮]    ,1
  这个颜值我爱[舔屏],0
孩子是无辜的，户口别上汉族，我们汉族不接受。,1
我都忘记那个武汉女大学生嫁到非洲是怎么样了,0
狂够了吗？继续。,1
这种女人别诉说情史,1
嘴够大,1
发育得这么好还叫瘦,1
嫁出国外的女人必须取消国籍  以防串种  这才是你们应该关心的  国籍必须跟着过去,1
别具打岔，你膜拜,1
确实网上很多人嘴巴比较臭，别被这些评论打扰了一天的好心情,0
这是叫咱们国家的女人嫁到非洲的节奏[捂脸],1
超级恶心,1
当她问这话的时候已经睡了，只不过是想要个心安罢了。,1
有枪真好。,1
不要你回中国了,1
生活好啊，脸都发福了,1
爬着活也活不下去,1
我操差点就回到原始社会了,1
闺女丢了,1
后悔终生嫁非洲男人,1
祝福你幸福，但嫁鸡随鸡，去他国家吧，相信你会过的好，但是没有你我们会过的更好,1
石头，我感觉这姑娘看上你了，把她取回国，为中国队扳回一分吧,0
还不算太黑,1
这是多少年的脑血栓写出的剧情,1
读书不代表就有脑子,1
我怎么看她的眼珠子倒影有2个人，是不是别人威胁了,0
[捂脸][捂脸][捂脸][捂脸][捂脸][捂脸]切,0
祝你幸福[比心],0
这该死不听话的女儿！,1
这女的一定怕黑也怕鬼[流泪],1
所以要调教你呀，把你调教的开，朗,1
看上咯他什么，就比国人黑点儿[捂脸],1
我差点信了[看],0
都被染黑[捂脸],1
        是不是这些骗你找非洲男人[看][看][看],1
没男朋友你有这么丰满？,1
大多数很惨，这是极个别的,1
这外国人怎么像猴子呢,1
一夜成名了,1
好看是好看，漂亮是漂亮。但是我还是喜欢我们中华女生[感谢],1
不是我歧视，是连孩子都不好看你懂吗,1
你认为别人为什么都找你闺蜜要联系方式呢，就是为了搞定你闺蜜再搞定你，美国人的审美很东方的,0
缅甸那么多不关注，她一个就是热门?,0
 � [泪奔],0
洲际导弹已经准备就绪,1
这个女的条件挺好的嘛，是不是喝牛奶喝多了，长胖了。,1
呸呸呸呸呸呸呸,1
白十黑＝灰孩子,1
请问，有谁知道，非洲加蓬利伯维尔，求救电话?急等，人命关天,0
女人嫁谁是她的自由，但是我不想中国在多一个人种，,1
 你以后老公都是这样的,1
姑娘你太年轻了,0
逻辑满分,0
"基因强大,孩子不黑",1
哈哈哈，，[赞][赞][赞],0
有几个这么幸运的[泪奔]那些想嫁过去的好好考虑呀 别被这种视频误导了[泪奔][泪奔][泪奔],1
事实就是，很多女孩见到老外就贴上去了。玩玩罢了谁在乎审美[捂脸],1
如果我是你的家人，我要跟你断绝关系。,1
 贱,1
果然五官好看 什么颜色都好看,0
她穿秀禾服时也好美啊，大红色好喜庆,0
就算你嫁幸福，那只能说你走狗屎运了，在原则上政治上，也不能宣传，会误导中国女人的，她们在想又幸福，器官又大又长……所以会有少数中国女人流失，,1
想要长处就得接受短处,1
爱，不分肤色，真爱，尊重，她值得,0
到了一定年纪经历了一些事后，才知道父母当年说的都是对的，事教人一教就会,1
不是，真好看啊是,0
现在鞋子大了没人要了,1
恭喜恭喜！发自内心的,0
在中国现在的女性很少做饭[呲牙],0
辛福的大红大紫喽[捂脸],0
嘬嘬嘬，[勾引]�，嘬嘬嘬[勾引]�，嘬嘬嘬，[勾引]�，嘬嘬嘬，[勾引]�，嘬嘬嘬[勾引]�，嘬嘬嘬，[勾引]�,1
好贱[捂脸],1
 倒贴十万我都觉得亏[捂脸],1
管你哦！我只想欣赏一下,0
嫁对了哪儿都有好的,0
祝福新人百年好合,0
你瘦吗[捂脸],1
这是赌赢了,0
妈祖来了[捂脸][捂脸][捂脸],0
广西人找老外的很多！,0
人家那不是胖，是壮，而且人家女的身材好，个子高[微笑],1
一天的好心情就这样没有了[捂脸],1
自己选的，活该,1
千万别给上中国户囗，给中国社会稳定制造乱源。,1
咋想的,1
六安话，热媚。,1
这么黑，一起生活，怎么受得了，还不如跟比熊过还好一点,1
这个比小美人鱼好看多了,0
真不忌口呀,1
说实在，本人对黑人没好感。但愿是真的幸福,1
不要听他们的，自己舒服就行你辛苦了[捂脸],1
哈哈哈，差点我就信了,0
只要到那边去就行了,1
因为很多中国女生略微有点作,1
不要怕自己安逸了的[捂脸][捂脸],1
玩大了,1
米德尔顿[泪奔],0
爱他就会到他家吧 �[赞],1
没有救,1
女：我过上了不苦逼的生活,1
抖音怎么跟我推这种视频,0
感觉他过得挺好的啊，回来的时候都胖了[捂脸],0
干嘛要接受你，去非洲好好过日子，不要回来了,1
 笑死我了好可爱[黑脸],1
活该[感谢],1
 恋爱脑啊,1
这个老师有罪啊,1
吃西马吧[擦汗][擦汗][擦汗],1
一脚踢飞,1
她还以为别人羡慕他[尬笑],1
 这女的嫁给黑人真幸福[捂脸],0
迟早会后悔,1
搞不懂,1
被逼的心灵手巧[捂脸],1
牛逼了[赞][赞],0
只要不来中国就行！,1
中国有那么多好的男人不找偏要找非洲的,1
自己舒服就好，管人家说什么[捂脸],0
说的对，不需要怕，都支持你,0
这些人到最后不知道有多少个键盘侠[笑哭]，然后喊着高价彩礼，有车有房对她必须好[笑哭],1
大家看好这些女的的长相，避坑,1
男人的魅力跟长相没啥关系[捂脸][捂脸][捂脸][捂脸][捂脸],0
谈恋爱？阿泰没结婚么,1
外国的空气是香的,1
差点就信了！,0
多余的话一句都不想说，死活跟我也没关系,1
不愿意还回来中国干嘛？,1
你去非洲就行了,1
你看上外国人的什么 你以为我不知道是吧,1
他也会挑你底线的,1
周周又一个历害人物,0
一个以为找到了幸福，一个只是把你当玩偶,1
这个女孩好漂亮,0
不是我想看的！请不要给予流量！[看],1
[衰][衰][衰][衰][衰],1
国外伙食就是好[泣不成声][泣不成声]都胖了一圈了[泣不成声][泣不成声],1
贝克汉姆的孩子都是白,0
扫黑人除恶行动起来,1
请了解一下华语乐坛的大张伟演唱的阳光彩虹小白马[灵机一动],0
別问问看看吧,0
非洲真的热，你看她都晒黑了。,1
你长得好美,0
真有这么好嘛[舔屏]感觉她好像在宣传某种东西，就像缅北那种[舔屏],1
怎么不把你家里人都介绍嫁过去[捂脸][捂脸],1
呜啦,0
 哈哈哈哈以后也带个黑媳妇回去[看],1
如果你们不嫁，现在再中国生活，比非洲要好不知道多少倍。,1
不要彩礼可以倒贴[捂脸][捂脸],1
这个符合国人审美，确实好看[紫薇别走],0
我操，这些娘们不是好人呐。,1
姚明穿过的鞋你会穿吗[捂脸][捂脸][捂脸],1
可笑至极,1
劣,1
不懂就问 肤色都变了？,1
我前婆家，需要他们出礼节的一概不知，装傻充愣，需要我家出礼节，门清，任何一个小细节都像行家，不花钱的事她出来想掌控一切，花钱的事，哪怕几十块，就跟死了一样，你连人都找不到,1
不可能绝对不可能，你这么大是个男的都喜欢,1
把她女儿娶回来，要不然就亏了[捂脸][捂脸],1
先把导演活剮了,1
这嘴巴是吹拉弹唱撑的？,0
因为她们想证明她们比较牛逼，也是牛逼。,1
枪呢宝贝,1
[疑问],0
她自己一个性别[送心] 我没开玩笑,1
看吧，颜色不是问题，问题是五官精致[泪奔],0
血统论，这女孩子混了几代了,1
这过的真幸福呀！,0
导演,0
 评论区真的太双标[微笑],0
妈的，还彩礼送我都不要,1
第四[看],0
这些评论区的人无语，[泪奔]这个男孩只是肤色不同就歧视别人无语。人家长的那么帅。[尬笑],0
见过世面的人眼光都高[捂脸][捂脸][捂脸],0
电影里为啥都是苗条的,0
应该不要让她回国,1
成年人要为自己的行为负责，搞不懂网上那些人为什么瞎操心,1
可能觉得你的美颜开的太大,1
这种视频不举报留着干嘛[抠鼻],1
中国小伙难道比外圄人好,1
太有才了,0
外国好[呲牙],1
多嫁点，[偷笑][偷笑][偷笑][偷笑],1
漂亮   太他妈解气啦  爽,0
不在国内最好,1
跟他去非洲吧,1
那种人种最多？,1
这种剩菜剩饭明天还有人用高额的……………[捂脸][捂脸],1
老师真是善解人意啊[流泪],0
  [尬笑][尬笑][尬笑][绝望的凝视][绝望的凝视][绝望的凝视],1
打得漂亮，�瘸了吗干嘛不揣她？？,1
行走的五十万,1
主播说的太对了[赞][赞][赞][赞][赞][赞],0
别担心人家，选择时就已经有了准备了,0
好女孩,0
你主打擦边,1
 看评论,0
为什么,0
白吃白喝白嫖拍拍屁股走人还不用负责,1
评论区让我看到了专属于中国男的恶臭[偷笑],1
丢人现眼[舔屏],1
喜欢的,0
我表示不同情,1
妈的，中国那么多光棍还嫁到非洲[裂开],1
死是大卫的鬼，如她所愿而已,1
死了也不要管,1
美女，老外那点好,1
滚蛋吧,1
没见过男人么  非得嫁非洲[看],1
[捂脸][捂脸][捂脸][捂脸]父母宠出来的,1
看评论，没发现那个网友似乎依然很担心[捂脸][捂脸][捂脸],1
  这个真的还蛮好看的[不失礼貌的微笑],0
多生几个小黑[比心][比心],1
是到了该【立法整治】的时候了[发怒][发怒][发怒],1
黑人为啥是卷发,1
哎呀，这我就放心啦[呲牙],0
86年能出国留学的家庭应该算有钱人,0
  王佳成 ,0
支持家人,0
人家就说了，一对可爱的双胞胎，怎么可能，那是黑得可爱,1
跟他回非洲就可以,1
你劝他干嘛，你应该支持，等被抛弃了她就懂了,1
果然评论比视频更吸引我,1
哎！,0
有病吧[尬笑],1
估计好多代都回不到黄皮肤来了吧,1
无人同情,1
真爱啊[捂脸],1
恶梦的开始，哎,1
恶心[衰],1
真光荣[看],1
眯眯眼,1
真是重口味,1
中国大把的男人看不上，老外一追就到手。管她们干什么，祝福他们就可以了。,1
光宗耀祖[尬笑],1
可别回来[微笑],1
我觉得这都活该,1
把不好拍出来,1
祝福白头偕老,0
嘿嘿   爱他就去他的家乡吧,1
建议大家了解了解八抬大轿[送心]一些紫微星真的不配拥有，随便用小心给人笑话一辈子[大笑],1
是谁让思琪上大学的？是学让陈怡上大学的？上大学有什么用？是不是可以当酋长夫人？如果上大学是为了混一本毕业证书！还不如从来没读过书！文盲不是罪过！但是由于接受过高等教育而导致道德文盲是罪过！我绝不会让我女儿上大学！如果她非要上大学我会和她断绝关系，如果真发生这种事情，当初就不该把她生下来，我想了很多，所以我这辈子不结婚，不生女子！[呲牙],1
拜托 千万别回来 我真谢谢你,1
真厉害，会做吃的，还会做穿的,0
生出来的小孩是汉族吗[思考][发呆],0
[看][看][看][黑脸],1
够勇气,0
那么黑的皮肤能看习惯吗！还能跟他走有了孩子，理解不了,1
艾呀，梅事啦[泣不成声],1
我喜欢你[看],0
都不知道带了非洲病毒没，第二，你都生了两孩子了，还要房车，做梦吧你,1
这个女人，活该,1
她好漂亮啊，,0
斯气吧,1
 我凑,1
去吧，每人给1块钱凑够了，喊他们买飞机回家,1
 为撒,1
考上南京名牌大学不知道非洲的贫穷？[尬笑],1
恶心到吐,1
这个黑糊糊有点漂亮的,0
    好好看[舔屏],0
广东的又瘦又小 不也那么多吗,1
苦什么别苦逼[赞],1
你这在国内 这样9分啊  在美国居然没人追 没天理啊,0
我想知道这是为什么,1
多好，开心是要付出代价的,1
谁愿意捡洋垃圾,1
很少,0
图什么,1
这种人活该[呲牙],1
我觉得回来我是男的没钱都不娶你,1
这些都是假的，是别有用心人摆拍的。嫁到非洲的女人都过得很好！姐妹们！要勇敢去追求自己幸福[尬笑][尬笑],1
没人约你，我约你[笑哭],1
太猛[震惊][震惊][震惊],1
做饭又做衣服。,1
你看看这是生了个啥[捂脸],1
什么啥卵,1
还别说，中国大把人要。没有嫁不出去的女人，只有娶不到老婆的男人。现在的社会就是这样。,1
赶紧嫁吧，光宗耀祖。又是一大朵花+一枚钻戒。哈哈。[捂脸][捂脸][捂脸]。要是我女儿嫁老外，直接断绝关系。,1
只能说活该,1
品种不一样，黑不溜秋的种能长出好地瓜吗？[捂脸],1
去你的！,1
都长胖了，多好,1
继续啊，继续收天价彩礼啊，怎么不继续了[偷笑]一天天的对着男票说：钱重要还是我重要。要是男生问回你们女生：钱重要还是我重要，你们怎么选[捂脸],1
额，下家不好找了,1
[看]黑白的比较好,1
以后要是让黑哥不要了 这48码的难搞,1
她的快乐你体会过吗？,1
这是赖皮么，想问下赖他什么[捂脸][捂脸][捂脸][捂脸],1
说了半天都是解释别人为什么不选你[捂脸]你到底怎么想的呢,1
男人不结婚 不贷款买楼房 生活爽的很,0
绳子放长了什么妖魔鬼怪都出来了。,1
背湿,1
大黑兄弟！受苦了！,1
我还是喜欢黄种人，喜欢中国人[泣不成声],1
嫁出去了，就不是中国人了,1
还真的没有很丑的,0
[捂脸][捂脸][捂脸][捂脸]不听父母言吃亏在眼前。命运,1
挺美的,0
好漂亮啊[求抱抱],0
求基因突变，用这种方法,1
有就有呗[惊恐],1
没人愿意刷锅,1
支持，为了爱情，可以嫁去。,0
我愿意要，总比没有好,0
这种一般都是女的学历低没什么见识，[呲牙],1
你爸说：娃，你不是我孩子，你是非洲人,1
不是爱情吗,1
没打死还好,1
纯恶意 吐口水,1
松款了,1
从小到大都不喜欢白廋，不知道天天被谁代表了大部分男人,1
过段时间男友突然失联，长沙又多了一个单亲妈妈[泪奔],1
哈，你爸妈不会高兴的,1
要房要车要彩礼不,1
都活该，恋爱脑,1
那你到底有没有,1
我看也挺好的。吃的肥头大耳的，挺好[赞],1
死不足惜[捂脸][捂脸][捂脸],1
草 别回来了,1
外囯的月亮是圆的，屁也是香的。她的遭遇只有他的父母痛心疾首，跟别人没有半毛钱的关系。,1
想的真多，还列了7条,0
中国的好男人多的是，以后妳一定会悔,1
丢脸，难道中国没男人了吗？,1
 [震惊][震惊][震惊],1
基因的战争失败了,1
不能让他回国，这种人让他回国妥妥害人[看],1
悲哀！[鄙视],1
进口货耶,1
 这个真好看啊,0
感觉中非配好难看,1
黑人都是这样,1
人家自己的选择，过的好与坏，都是人家自己的事。,0
高手[看],0
谈了，麻烦你到非洲，还我净土,1
他抖音号多少,0
自己种的树，得自己受的苦，谁叫你看到老黑啊？难道我们中国人男人比不上老黑吗,1
 幽默典范的小哥[笑哭][笑哭],1
好走不送,1
没有人愤怒吧，都是开心的祝福吧，过得挺好回来干嘛[笑哭],1
竟然还有人在这个评论下质疑如果发生在国内打死闯入人的后果，,1
尺码不一样啊,1
希望法律再加一条嫁入国外的女子取消中国国籍[尬笑],1
以后还得变的纯黑,1
海外华人一定要保护好自己[赞],1
真晦气啊 怎么能刷到这种视频？？[吐],1
"嫁国男，要车，要房，要彩礼，不干活，不生娃，饭来张口，衣来伸手，颐指气使，半点不顺心，张嘴就骂，抬手就打，标准悍妇！
嫁老外，养猪干农活，苦活累活抢着干，贤惠温顺，生几个男方说了算，倒贴嫁妆，低眉顺眼，生怕没把穷老公侍候好，在家不敢大呼小叫，上得厅堂，下得厨房，只恨自己保姆没当好。",1
以前是真开放，现在是真放开。,1
国内又多一光棍[捂脸][捂脸],1
评论区竟然不见一个女的，呵！,1
我觉得女生绝不能下嫁,1
说的很对 父母会去世 儿女会结婚有自己的家庭条件陪伴在身边的永远是妻子丈夫[泣不成声],0
"初始执笔为虎
继而挥笔为二
终极投笔为傻",1
     恋爱脑二号[泣不成声],1
[思考]没有被分开卖[抠鼻]我还跟老婆说了呢,0
肤色不一样 可是她真的很漂亮啊[泣不成声][吻],0
非洲很大，国家很多，生活好不好，主要看嫁到哪个国家,1
只要不谈彩礼，大家都能接受，,1
山东女人就是不一样[捂脸],1
赶紧走，别拿你们的产品再霍霍下一代，我们需要纯正的中国人的血统,1
100个能有一个这样的吗,1
千万别给留下黑孩子，还给上个汉族的户口！都打包带走吧，谢谢了[抱拳],1
真是个心灵手巧的妈妈,0
只要不待在中国那我没什么意见,1
真穷[吐血]，图啥？,1
在非洲应该没有公婆 不用彩礼嫁妆吧[大笑],1
不是说好的生是大卫的人，死是大卫的鬼吗？,1
别把你们后代留在中国，应该和你老公，去他那个国家，谢谢,1
"中国男人有家庭观念，传宗接代观念，责任感。
但是黑子那边之前还是部落制度吧[捂脸]",1
你晒黑了,1
真幸福啊[看],0
这姑娘真漂亮，五官好精致,0
噁心,1
个别而已！不要骗人了！,1
嘴唇都被人打肿了,1
嫁哪里个人自由，只要不留在中国就可以了,1
那男的家庭条件那么差怎么有钱出国去读书的？,0
    哈哈哈哈哈哈最后那个好搞笑,0
1年以后,0
哈哈哈，该不该你就说,0
愤怒个屁自己选的活该,1
你要变第二个陈怡？,1
去看看陈怡，崇洋媚外,1
又一个陈怡出现了！活该活该,1
你情我愿，挺好！,0
该！活该！自作孽不可活！,1
归根结底还是贪财,1
有没注意看门栓[捂脸],1
真爱,0
200磅？90？？？？,1
          秘书们，帮我查查这个剧在哪个平台能看,0
友情提示，山东女人不要碰，会得艾滋病。生命只有一次，请自爱！,1
自己选的，谁也别怨。,1
恕我接受不了，乌漆嘛黑的老公[捂脸]（勿喷[调皮]）真是感觉还是咱们中国人长得好看，比如我男朋友[呲牙],1
支持去非洲，别带回来就行,1
哪比不上，搞不清楚,1
大街上都站不住了？,1
这极[捂脸],1
你好，二代白给妹,1
混血了,1
牛大粪还高黑帅[捂脸][捂脸][捂脸][捂脸],1
骨子里的基因是调查报告所不能的！,1
不理解,1
你不开放吗？,1
祝福你快去吧,1
他用白皮肤伪装骗你了？,1
爽歪歪[大笑],1
嘴巴都干歪了[捂脸],1
去吧  [泪奔] 不洗手真的可以接受吗[泪奔],1
这种女人他就该受,1
光宗耀祖[呲牙],1
美国电影明星  有你说的那么胖的？,0
光宗耀祖哦，第一名哦,1
请查一查是否为间谍,1
稀有的例子，多半嫁非洲结局都不好,1
吥,1
你爸爸几个老婆？,1
我要去收购一批机器,0
比例又对呀,0
活该！自己作死,1
活该，活该。,1
 跟你小舅那个有什么区别,0
[赞]遇良人,0
黄种人不能和白种人混血，否则，下代的下代将是病理状态,1
已经劏缸了！[捂脸][捂脸],1
 还好我是家宝女[调皮],0
  励志成为炸鸡店主  [闭嘴],0
看到这视频心里爽歪歪[捂脸]，早知如此何必当初[捂脸],1
恶心死了[捂脸][捂脸][捂脸][捂脸],1
这些主播带节奏  看看悲惨的多还是这种多,1
既然说了 死是人家的鬼  何必还要回家,1
你想传播什么思想？,1
[看]过得这么好就好好过,0
生五个想想都怕[捂脸][捂脸][捂脸],1
看来中国的一部分女人还是不适合中国男人的！而是不配！,1
鞋太大了，别人不能穿[捂脸][捂脸][捂脸],1
想起了缅北娇贵的小公主。[泪奔][泪奔],1
还好意思出来抛头露面，,1
没事，不在中国怎么样都行[看][感谢],1
哈哈  活该！,1
出去玩的咋样[绝望的凝视],1
有爱情！有抚摸！有锻炼身体！知足吧！继续你们的幸福！祝福你们快乐每一天！,1
老外高兴坏了[捂脸],1
为什么崇洋媚外！虚荣心嘛还是怎样，,1
不正常吗？,1
真棒��,0
不是吗[看],0
老同学 你的便秘好了没,1
人家起码不会便秘，有什么错,1
美国:鄙视我 理解我 成为我[绿帽子][绿帽子],1
怕得病,1
看不得这，呸,1
这样的人值得报道吗？,1
得了吧 别吹了,1
